City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alexandria,EG,2020-04-18 05-45:48,31.22,29.96,64.4,82,0,8.05
1,Coahuayana,MX,2020-04-18 05-45:49,18.73,-103.68,76.05,49,66,3.22
2,Severo-Kurilsk,RU,2020-04-18 05-45:49,50.68,156.12,33.3,90,6,13.29
3,Rikitea,PF,2020-04-18 05-45:50,-23.12,-134.97,77.14,67,0,5.32
4,Cururupu,BR,2020-04-18 05-45:50,-1.83,-44.87,75.58,92,100,1.74
5,Yellowknife,CA,2020-04-18 05-45:51,62.46,-114.35,21.2,53,90,6.93
6,Kodinsk,RU,2020-04-18 05-45:51,58.69,99.18,38.55,66,79,7.58
7,Jardim,BR,2020-04-18 05-45:51,-21.48,-56.14,57.02,66,41,1.25
8,Ushuaia,AR,2020-04-18 05-45:52,-54.8,-68.3,50.0,78,20,6.93
9,Punta Arenas,CL,2020-04-18 05-44:10,-53.15,-70.92,46.4,75,40,20.8
10,Avarua,CK,2020-04-18 05-44:18,-21.21,-159.78,77.0,73,5,4.7
11,Qaanaaq,GL,2020-04-18 05-45:53,77.48,-69.36,10.4,76,45,8.34
12,Nampula,MZ,2020-04-18 05-45:54,-15.12,39.27,73.96,81,47,3.87
13,Leningradskiy,RU,2020-04-18 05-45:54,69.38,178.42,8.62,94,100,8.84
14,Bluff,NZ,2020-04-18 05-45:55,-46.6,168.33,55.99,65,40,3.0
15,Bredasdorp,ZA,2020-04-18 05-45:55,-34.53,20.04,44.6,87,67,1.12
16,Yulara,AU,2020-04-18 05-41:21,-25.24,130.99,87.8,22,9,3.36
17,Shimoda,JP,2020-04-18 05-45:57,34.67,138.95,68.0,82,75,33.33
18,Ilulissat,GL,2020-04-18 05-45:57,69.22,-51.1,26.6,79,100,9.17
19,Yagodnoye,RU,2020-04-18 05-45:58,62.55,149.67,2.98,83,100,11.52
20,Saint-Philippe,RE,2020-04-18 05-45:59,-21.36,55.77,82.4,58,40,5.82
21,Hamilton,US,2020-04-18 05-45:59,39.18,-84.53,39.2,86,90,9.17
22,Karaman,TR,2020-04-18 05-46:00,37.08,33.25,57.7,33,2,4.94
23,Torbay,CA,2020-04-18 05-46:01,47.67,-52.73,30.0,79,5,10.29
24,Puerto Ayora,EC,2020-04-18 05-46:01,-0.74,-90.35,75.99,92,73,3.0
25,Nanortalik,GL,2020-04-18 05-46:02,60.14,-45.24,27.68,92,100,12.8
26,Kudahuvadhoo,MV,2020-04-18 05-46:02,2.67,72.89,85.23,72,71,8.37
27,Chulman,RU,2020-04-18 05-46:03,56.85,124.91,20.17,80,100,6.64
28,Bengkulu,ID,2020-04-18 05-44:40,-3.8,102.27,84.7,71,72,5.5
29,Kodiak,US,2020-04-18 05-46:04,57.79,-152.41,48.2,81,90,6.93
30,Haines Junction,CA,2020-04-18 05-46:05,60.75,-137.51,38.66,58,92,0.78
31,Cabinda,AO,2020-04-18 05-46:05,-5.55,12.2,78.3,89,93,6.93
32,Lima,PE,2020-04-18 05-46:06,-12.04,-77.03,68.0,88,98,9.17
33,Pangody,RU,2020-04-18 05-46:06,65.85,74.49,37.65,97,100,19.48
34,New Norfolk,AU,2020-04-18 05-46:07,-42.78,147.06,55.99,74,89,1.99
35,Coromandel,BR,2020-04-18 05-46:08,-18.47,-47.2,64.92,73,98,5.26
36,Carutapera,BR,2020-04-18 05-44:00,-1.2,-46.02,76.8,88,100,3.49
37,Cabedelo,BR,2020-04-18 05-46:09,-6.98,-34.83,77.0,100,0,3.22
38,Basoko,CD,2020-04-18 05-46:09,1.24,23.62,69.93,87,100,2.19
39,Pregradnoye,RU,2020-04-18 05-46:10,45.82,41.75,53.01,59,98,8.88
40,Butaritari,KI,2020-04-18 05-46:11,3.07,172.79,82.99,79,90,16.58
41,Clyde River,CA,2020-04-18 05-46:11,70.47,-68.59,10.4,85,90,20.8
42,Mayo,US,2020-04-18 05-46:12,38.89,-76.51,48.99,70,1,1.83
43,Antalaha,MG,2020-04-18 05-46:13,-14.9,50.28,81.48,66,31,9.31
44,Codrington,AU,2020-04-18 05-46:14,-38.27,141.97,58.24,65,100,7.02
45,Portland,US,2020-04-18 05-43:36,45.52,-122.68,62.01,48,98,1.41
46,Gamba,GA,2020-04-18 05-46:15,-2.65,10.0,79.0,87,97,2.53
47,Fairbanks,US,2020-04-18 05-46:16,64.84,-147.72,41.0,93,90,1.81
48,Sur,OM,2020-04-18 05-46:16,22.57,59.53,83.52,60,0,6.82
49,Lagoa,PT,2020-04-18 05-46:17,39.05,-27.98,60.51,76,75,13.2
50,Naron,ES,2020-04-18 05-46:17,43.52,-8.15,55.99,92,0,6.91
