City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Klaksvik,62.23,-6.59,42.8,81,0,9.17,FO,2020-04-19 01-03:11,clear sky,0.0,0.0
Sampit,-2.53,112.95,75.36,98,100,0.89,ID,2020-04-19 01-01:07,moderate rain,4.39,0.0
Rikitea,-23.12,-134.97,77.49,69,21,6.42,PF,2020-04-19 01-03:18,few clouds,0.0,0.0
Tacarigua,10.09,-67.92,78.39,61,81,3.15,VE,2020-04-19 01-05:45,light rain,0.17,0.0
Bengkulu,-3.8,102.27,77.47,84,96,4.12,ID,2020-04-19 01-01:28,light rain,0.32,0.0
Lompoc,34.64,-120.46,59.0,62,90,12.75,US,2020-04-19 01-03:44,overcast clouds,0.0,0.0
Punta Arenas,-53.15,-70.92,46.4,65,40,19.46,CL,2020-04-19 01-03:11,scattered clouds,0.0,0.0
Busselton,-33.65,115.33,60.01,97,95,1.01,AU,2020-04-19 00-56:13,light rain,0.83,0.0
Qaanaaq,77.48,-69.36,21.69,88,100,19.26,GL,2020-04-19 01-02:24,overcast clouds,0.0,0.0
Ushuaia,-54.8,-68.3,48.2,57,40,10.29,AR,2020-04-19 01-03:11,scattered clouds,0.0,0.0
Vaini,-21.2,-175.2,82.4,69,40,12.75,TO,2020-04-19 00-58:45,scattered clouds,0.0,0.0
Hithadhoo,-0.6,73.08,83.73,74,97,11.12,MV,2020-04-19 01-02:27,overcast clouds,0.0,0.0
Bonwapitse,-23.08,26.7,63.81,59,3,12.06,BW,2020-04-19 01-05:50,clear sky,0.0,0.0
Fortuna,40.6,-124.16,57.99,71,90,8.05,US,2020-04-19 01-03:15,overcast clouds,0.0,0.0
Zaragoza,41.66,-0.88,59.0,87,75,2.24,ES,2020-04-19 01-05:51,light intensity shower rain,0.0,0.0
Portland,45.52,-122.68,54.0,76,90,6.93,US,2020-04-19 01-00:50,light rain,0.0,0.0
Santa Cruz,-17.8,-63.17,73.4,46,23,4.7,BO,2020-04-19 01-05:52,few clouds,0.0,0.0
Kapaa,22.08,-159.32,78.8,65,1,9.17,US,2020-04-19 01-03:19,clear sky,0.0,0.0
Albany,42.6,-73.97,43.0,46,57,1.01,US,2020-04-19 01-02:27,broken clouds,0.0,0.0
Areosa,41.72,-8.86,54.0,100,20,5.64,PT,2020-04-19 01-05:53,few clouds,0.0,0.0
Boa Vista,2.82,-60.67,77.0,73,75,13.87,BR,2020-04-19 01-05:54,thunderstorm,0.0,0.0
Te Anau,-45.42,167.72,47.91,71,95,9.75,NZ,2020-04-19 01-01:14,light rain,1.11,0.0
Muroto,33.28,134.15,64.4,45,75,11.41,JP,2020-04-19 01-04:02,broken clouds,0.0,0.0
Lagoa,39.05,-27.98,62.29,84,100,18.88,PT,2020-04-19 01-03:24,light rain,0.88,0.0
Sao Joao Da Barra,-21.64,-41.05,71.96,81,96,8.16,BR,2020-04-19 01-01:35,overcast clouds,0.0,0.0
Cape Town,-33.93,18.42,60.8,72,77,2.24,ZA,2020-04-19 01-03:16,broken clouds,0.0,0.0
Alpine,32.84,-116.77,62.6,63,90,11.41,US,2020-04-19 01-05:57,overcast clouds,0.0,0.0
Ponta Do Sol,32.67,-17.1,57.0,63,18,1.01,PT,2020-04-19 01-03:35,few clouds,0.0,0.0
Cabo San Lucas,22.89,-109.91,75.0,64,5,14.99,MX,2020-04-19 01-00:00,clear sky,0.0,0.0
Sitka,57.05,-135.33,53.6,71,20,4.7,US,2020-04-19 01-03:53,few clouds,0.0,0.0
Dikson,73.51,80.55,35.26,88,100,19.15,RU,2020-04-19 01-03:31,overcast clouds,0.0,0.0
Andenes,69.31,16.12,39.2,100,99,19.46,NO,2020-04-19 01-05:59,light rain,0.11,0.0
Atuona,-9.8,-139.03,82.17,71,94,17.22,PF,2020-04-19 01-03:22,overcast clouds,0.0,0.0
Ust-Tsilma,65.44,52.15,34.39,95,100,2.06,RU,2020-04-19 01-06:00,light snow,0.0,0.27
Nova Olimpia,-14.8,-57.29,71.74,83,82,1.34,BR,2020-04-19 01-06:00,broken clouds,0.0,0.0
