City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Rikitea,PF,77.49,Few clouds,-23.12,-134.97,Pension Maro'i
Vaini,TO,82.4,Scattered clouds,-21.2,-175.2,Keleti Beach Resort
Hithadhoo,MV,83.73,Overcast clouds,-0.6,73.08,Scoop Guest House
Kapaa,US,78.8,Clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Boa Vista,BR,77.0,Thunderstorm,2.82,-60.67,Aipana Plaza Hotel
Cabo San Lucas,MX,75.0,Clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Atuona,PF,82.17,Overcast clouds,-9.8,-139.03,Villa Enata
Det Udom,TH,89.01,Scattered clouds,14.91,105.08,Chatsuda Resort
Vao,NC,76.46,Scattered clouds,-22.67,167.48,Hotel Kou-Bugny
Kuliyapitiya,LK,77.0,Few clouds,7.47,80.04,Rest House
Hilo,US,82.4,Few clouds,19.73,-155.09,Hilo Hawaiian Hotel
Quatre Cocos,MU,75.0,Scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
Poum,NC,78.91,Scattered clouds,-20.23,164.02,Gîte kajeon
Grand Gaube,MU,75.0,Light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Avarua,CK,82.4,Broken clouds,-21.21,-159.78,Paradise Inn
Ibra,OM,76.39,Scattered clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
Iralaya,HN,82.4,Few clouds,15.0,-83.23,Iglesia morava renovada
Cockburn Town,TC,78.6,Scattered clouds,21.46,-71.14,Osprey Beach Hotel
Dhidhdhoo,MV,86.45,Scattered clouds,6.88,73.1,Dhidhoo beach
Severiano Melo,BR,76.15,Broken clouds,-5.78,-37.96,Chácara Bela Vista
Sabha,LY,76.71,Clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
Kiunga,PG,79.0,Overcast clouds,-6.12,141.29,Airport Lodge Kiunga
Wanning,CN,78.26,Clear sky,18.8,110.4,Paradise Hotel
Kuchera,IN,76.98,Broken clouds,26.98,73.97,Saini Tee Stole
San Blas,MX,80.6,Broken clouds,21.52,-105.27,Hotel Posada del Rey
Mahebourg,MU,75.0,Scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
New Amsterdam,GY,78.87,Scattered clouds,6.25,-57.52,Little Rock Suites
